id_item_sale,id_sale,id_product,quantity,unity_price,discount
1,1,64,1,465.77,0.0
2,2,131,2,254.41,0.0
3,2,127,2,108.37,18.76
4,2,107,1,356.54,0.0
5,2,132,3,271.63,0.0
6,3,9,1,211.58,0.0
7,3,3,3,84.91,0.0
8,3,195,1,2386.54,0.0
9,4,12,1,103.74,0.0
10,5,164,1,3893.51,0.0
11,6,56,2,541.71,15.85
12,6,5,1,48.72,0.0
13,7,112,1,213.13,0.0
14,8,153,1,899.07,0.0
15,8,174,1,444.77,0.0
16,9,96,1,3343.78,0.0
17,9,3,1,84.91,0.0
18,9,108,2,184.39,44.13
19,9,126,1,99.46,0.0
20,10,27,1,499.73,0.0
21,11,54,1,1572.62,13.32
22,11,104,1,301.48,0.0
23,11,116,1,87.82,9.49
24,12,54,1,1572.62,0.0
25,13,56,1,541.71,0.0
26,14,66,1,2666.3,0.0
27,14,180,1,688.25,14.85
28,14,132,1,271.63,48.33
29,15,76,1,2694.89,0.0
30,16,99,1,1026.9,0.0
31,16,23,1,226.71,0.0
32,16,7,3,198.41,0.0
33,17,104,1,301.48,0.0
34,17,17,1,161.28,0.0
35,18,2,4,50.73,0.0
36,18,20,2,161.19,6.98
37,18,198,2,335.29,0.0
38,19,15,1,100.33,15.19
39,20,34,1,2208.82,0.0
40,20,124,1,90.32,0.0
41,20,109,1,185.46,0.0
42,20,131,1,254.41,23.22
43,21,36,1,920.34,63.17
44,21,107,1,356.54,0.0
45,22,25,1,129.85,0.0
46,22,18,2,285.54,0.0
47,22,177,1,708.47,0.0
48,22,30,1,499.04,30.83
49,23,174,3,444.77,14.55
50,23,3,1,84.91,0.0
51,24,146,1,2754.05,0.0
52,25,106,4,329.99,0.0
53,26,78,1,2330.09,0.0
54,27,41,1,1547.31,0.0
55,27,132,1,271.63,0.0
56,27,129,2,234.73,0.0
57,28,188,3,272.51,8.44
58,29,28,3,891.07,0.0
59,29,188,1,272.51,40.9
60,29,11,1,103.13,0.0
61,29,198,1,335.29,0.0
62,30,174,1,444.77,0.0
63,31,13,1,179.89,0.0
64,32,23,1,226.71,0.0
65,32,1,1,50.85,2.61
66,33,25,1,129.85,6.13
67,33,9,2,211.58,20.86
68,34,67,1,2585.44,170.38
69,34,199,1,302.35,14.76
70,35,48,1,1300.02,36.87
71,36,62,1,568.58,0.0
72,37,18,1,285.54,0.0
73,38,179,1,785.02,0.0
74,39,63,1,553.65,0.0
75,40,26,1,512.74,0.0
76,41,6,1,197.6,0.0
77,41,3,1,84.91,0.0
78,42,54,1,1572.62,0.0
79,42,130,3,235.05,8.43
80,43,93,1,2340.74,0.0
81,43,107,1,356.54,15.37
82,43,123,2,93.91,0.0
83,44,11,4,103.13,0.0
84,45,70,1,4058.75,0.0
85,46,64,1,465.77,0.0
86,47,21,1,130.07,16.7
87,47,187,1,261.06,0.0
88,47,199,1,302.35,0.0
89,48,114,1,82.86,0.0
90,49,124,1,90.32,0.0
91,49,5,3,48.72,0.0
92,50,27,1,499.73,0.0
93,50,4,1,55.94,0.0
94,50,11,1,103.13,0.0
95,51,26,1,512.74,23.93
96,51,187,4,261.06,0.0
97,52,4,1,55.94,0.0
98,53,50,1,1324.14,0.0
99,53,109,1,185.46,0.0
100,54,102,1,1340.84,16.7
101,55,15,1,100.33,0.0
102,56,200,1,298.87,0.0
103,57,63,1,553.65,0.0
104,57,25,2,129.85,0.0
105,57,114,1,82.86,4.89
106,58,20,1,161.19,0.0
107,58,195,1,2386.54,0.0
108,59,61,3,595.59,13.15
109,59,114,1,82.86,4.39
110,59,3,1,84.91,4.31
