id_sale,id_customer,id_store,payment_method
1,14,10,Cartão de Débito
2,15,13,PIX
3,86,1,PIX
4,71,1,Cartão de Crédito
5,21,13,PIX
6,31,8,Cartão de Crédito
7,103,9,Dinheiro
8,42,2,Cartão de Crédito
9,107,2,Cartão de Crédito
10,109,7,Cartão de Crédito
11,118,4,Cartão de Crédito
12,100,15,Cartão de Crédito
13,99,12,Cartão de Crédito
14,20,13,Cartão de Crédito
15,81,13,Cartão de Crédito
16,9,6,Cartão de Débito
17,98,14,Cartão de Crédito
18,102,13,PIX
19,111,12,PIX
20,100,6,Cartão de Crédito
21,15,15,Cartão de Crédito
22,84,6,PIX
23,117,14,PIX
24,80,3,Cartão de Crédito
25,19,5,Cartão de Débito
26,90,4,Cartão de Crédito
27,100,10,PIX
28,105,14,Cartão de Crédito
29,112,5,Cartão de Crédito
30,97,3,PIX
31,54,12,Cartão de Crédito
32,51,6,PIX
33,34,9,Dinheiro
34,118,12,Cartão de Crédito
35,86,7,Cartão de Crédito
36,19,3,PIX
37,83,4,PIX
38,33,10,Cartão de Crédito
39,108,10,PIX
40,19,3,Dinheiro
41,106,13,Cartão de Crédito
42,72,8,Cartão de Crédito
43,45,5,PIX
44,70,8,PIX
45,79,10,Cartão de Crédito
46,102,7,PIX
47,101,3,PIX
48,41,9,Cartão de Crédito
49,61,15,PIX
50,95,9,Cartão de Crédito
51,47,1,Cartão de Crédito
52,94,10,PIX
53,1,7,Cartão de Crédito
54,114,12,Cartão de Crédito
55,10,7,Cartão de Crédito
56,67,2,Cartão de Crédito
57,113,8,PIX
58,2,7,Cartão de Crédito
59,14,14,PIX
60,113,9,Cartão de Crédito
61,91,7,Cartão de Débito
62,65,4,Cartão de Crédito
63,79,1,PIX
64,92,6,Cartão de Crédito
65,107,9,Dinheiro
66,40,4,Cartão de Débito
67,36,1,Cartão de Crédito
68,103,5,Cartão de Crédito
69,84,2,PIX
70,62,11,Cartão de Crédito
71,83,8,Cartão de Crédito
72,4,5,Cartão de Crédito
73,53,8,Cartão de Crédito
74,1,6,PIX
75,97,5,Cartão de Débito
76,63,1,Cartão de Crédito
77,17,10,Cartão de Crédito
78,74,2,PIX
79,83,8,Cartão de Crédito
80,32,1,Cartão de Crédito
81,74,6,Cartão de Crédito
82,88,10,Cartão de Crédito
83,67,15,Cartão de Débito
84,83,1,Cartão de Crédito
85,86,3,Cartão de Crédito
86,20,14,Cartão de Débito
87,117,8,PIX
88,117,14,Cartão de Crédito
89,23,4,PIX
90,2,7,PIX
91,8,10,Cartão de Crédito
92,5,8,Cartão de Débito
93,86,12,Cartão de Crédito
94,67,5,PIX
95,74,8,Cartão de Crédito
96,27,1,PIX
97,35,2,PIX
98,66,4,Cartão de Crédito
99,85,5,PIX
100,117,3,Cartão de Crédito
101,98,15,Cartão de Crédito
102,91,7,Cartão de Débito
103,73,2,Cartão de Crédito
104,100,10,PIX
105,82,4,PIX
106,100,7,Cartão de Crédito
107,17,2,PIX
108,33,4,Cartão de Crédito
109,29,1,Cartão de Débito
110,102,7,PIX
111,20,5,PIX
112,118,7,Cartão de Débito
113,95,11,Cartão de Crédito
114,57,3,Cartão de Crédito
115,19,13,Cartão de Débito
116,38,14,Cartão de Débito
117,101,3,Cartão de Crédito
118,1,6,Cartão de Crédito
119,43,12,Dinheiro
120,119,7,PIX
121,13,9,PIX
122,118,9,PIX
123,62,6,Cartão de Débito
124,115,8,Cartão de Débito
125,77,14,Cartão de Crédito
126,5,4,Cartão de Crédito
127,90,1,Cartão de Crédito
128,40,15,Cartão de Crédito
129,60,4,Cartão de Débito
130,12,6,PIX
131,34,4,Cartão de Débito
132,101,8,PIX
133,31,5,Cartão de Crédito
134,100,11,Cartão de Crédito
135,76,4,Cartão de Crédito
136,19,8,Cartão de Crédito
137,60,9,PIX
138,54,14,Cartão de Crédito
139,59,6,PIX
140,5,3,Cartão de Débito
141,97,11,PIX
142,8,3,PIX
143,63,14,Cartão de Crédito
144,111,15,PIX
145,116,11,Cartão de Crédito
146,83,6,PIX
147,5,8,Cartão de Crédito
148,37,3,Cartão de Crédito
149,102,5,Cartão de Débito
150,95,5,Dinheiro
151,99,1,PIX
152,91,5,PIX
153,73,1,PIX
154,16,5,Cartão de Crédito
155,14,12,Cartão de Crédito
156,64,1,Cartão de Crédito
157,72,7,PIX
158,116,7,Cartão de Crédito
159,94,7,PIX
160,114,7,Cartão de Crédito
161,19,15,Cartão de Crédito
162,103,12,Cartão de Crédito
163,38,13,Cartão de Crédito
164,86,9,Cartão de Débito
165,48,14,Cartão de Crédito
166,34,6,Cartão de Crédito
167,34,5,Cartão de Crédito
168,83,15,PIX
169,99,12,Cartão de Débito
170,71,9,PIX
171,35,7,Cartão de Débito
172,74,11,PIX
173,79,2,PIX
174,20,15,Cartão de Crédito
175,91,3,Cartão de Crédito
176,5,9,Cartão de Crédito
177,21,8,Cartão de Crédito
178,29,14,PIX
179,110,5,PIX
180,117,9,PIX
181,49,13,Cartão de Crédito
182,103,12,Cartão de Crédito
183,52,3,Cartão de Crédito
184,97,10,Cartão de Crédito
185,18,6,PIX
186,105,5,Cartão de Débito
187,56,5,Cartão de Crédito
188,6,14,Cartão de Crédito
189,46,15,Cartão de Crédito
190,49,1,Cartão de Crédito
191,99,2,Cartão de Crédito
192,42,12,Dinheiro
193,74,3,Cartão de Débito
194,18,4,PIX
195,107,11,PIX
196,41,6,PIX
197,71,5,PIX
198,41,9,Cartão de Débito
199,103,6,PIX
200,47,1,Cartão de Crédito
201,51,10,Cartão de Crédito
202,88,7,PIX
203,44,15,Cartão de Crédito
204,118,1,Cartão de Crédito
205,33,10,Cartão de Crédito
206,85,10,PIX
207,43,6,Cartão de Crédito
208,30,8,PIX
209,25,10,Cartão de Débito
210,102,15,Cartão de Crédito
211,7,6,Cartão de Crédito
212,9,1,Cartão de Crédito
213,8,15,Cartão de Débito
214,18,15,Cartão de Débito
215,87,10,Cartão de Débito
216,105,3,Cartão de Crédito
217,40,12,Cartão de Crédito
218,8,7,PIX
219,19,3,PIX
220,62,10,PIX
221,41,4,Cartão de Crédito
222,26,14,Cartão de Crédito
223,86,4,PIX
224,92,14,Cartão de Crédito
225,113,4,Cartão de Débito
226,77,10,PIX
227,94,6,Cartão de Crédito
228,32,12,PIX
229,9,14,Cartão de Crédito
230,52,11,Cartão de Crédito
231,35,8,Dinheiro
232,53,12,Cartão de Débito
233,98,11,Cartão de Crédito
234,37,3,PIX
235,113,15,PIX
236,29,12,Cartão de Débito
237,9,7,Cartão de Crédito
238,99,6,Cartão de Crédito
239,42,10,PIX
240,24,2,Cartão de Débito
241,34,7,PIX
242,50,14,Cartão de Débito
243,115,3,Cartão de Débito
244,118,13,Cartão de Crédito
245,88,12,PIX
246,118,15,Cartão de Crédito
247,55,3,PIX
248,46,11,PIX
249,67,9,PIX
250,112,2,Cartão de Crédito
251,80,13,PIX
252,42,4,Cartão de Crédito
253,78,8,PIX
254,21,12,PIX
255,54,3,Cartão de Débito
256,52,2,Cartão de Crédito
257,12,10,Cartão de Crédito
258,36,9,Cartão de Crédito
259,9,15,Cartão de Crédito
260,64,1,PIX
261,9,10,PIX
262,31,9,PIX
263,4,4,Cartão de Crédito
264,90,2,PIX
265,100,10,Cartão de Crédito
266,104,14,Cartão de Crédito
267,30,10,PIX
268,67,5,PIX
269,61,8,Cartão de Crédito
270,37,8,Cartão de Crédito
271,38,1,PIX
272,74,11,Cartão de Débito
273,93,9,PIX
274,44,1,Cartão de Crédito
275,79,15,Cartão de Crédito
276,49,10,PIX
277,25,10,PIX
278,6,4,Cartão de Crédito
279,95,1,Cartão de Débito
280,51,14,Cartão de Débito
281,12,13,Cartão de Débito
282,61,3,PIX
283,118,9,Cartão de Débito
284,69,7,PIX
285,119,5,Cartão de Crédito
286,12,15,PIX
287,88,13,PIX
288,25,14,Dinheiro
289,54,3,Cartão de Débito
290,83,6,PIX
291,41,5,PIX
292,82,1,Cartão de Crédito
293,2,10,Cartão de Crédito
294,21,2,PIX
295,29,10,PIX
296,65,4,Cartão de Crédito
297,25,6,PIX
298,51,9,Dinheiro
299,109,12,PIX
300,76,7,Cartão de Crédito
301,83,1,PIX
302,2,15,Cartão de Crédito
303,100,2,Cartão de Débito
304,11,2,PIX
305,42,7,PIX
306,6,10,Cartão de Débito
307,46,9,Cartão de Crédito
308,4,11,PIX
309,2,9,PIX
310,58,6,Cartão de Crédito
311,86,13,PIX
312,26,5,Cartão de Crédito
313,90,10,PIX
314,58,6,Cartão de Crédito
315,114,8,Cartão de Crédito
316,22,12,Cartão de Crédito
317,69,5,Cartão de Débito
318,81,12,Cartão de Crédito
319,93,9,Cartão de Débito
320,42,14,Cartão de Débito
321,80,8,Dinheiro
322,118,12,PIX
323,56,1,PIX
324,107,5,PIX
325,70,9,Cartão de Débito
326,65,15,Dinheiro
327,25,4,Cartão de Débito
328,91,6,Cartão de Débito
329,51,3,Cartão de Crédito
330,54,1,Cartão de Crédito
331,27,7,Cartão de Crédito
332,33,15,PIX
333,70,3,Cartão de Crédito
334,98,8,Cartão de Crédito
335,108,6,PIX
336,75,12,Cartão de Crédito
337,71,4,PIX
338,108,6,Cartão de Crédito
339,79,11,Cartão de Débito
340,32,15,PIX
341,53,10,Cartão de Crédito
342,51,10,Cartão de Débito
343,32,2,Cartão de Crédito
344,107,7,PIX
345,35,9,PIX
346,61,12,Dinheiro
347,111,2,PIX
348,28,2,PIX
349,52,3,Cartão de Débito
350,42,14,Cartão de Débito
351,69,7,PIX
352,99,14,PIX
353,4,15,PIX
354,60,1,PIX
355,48,2,Dinheiro
356,101,2,Cartão de Crédito
357,40,15,PIX
358,77,5,PIX
359,90,3,PIX
360,32,3,PIX
361,57,10,Cartão de Crédito
362,56,11,Cartão de Crédito
363,118,11,PIX
364,9,1,Dinheiro
365,64,13,Cartão de Crédito
366,23,2,Cartão de Crédito
367,79,5,PIX
368,10,6,PIX
369,97,4,Cartão de Débito
370,63,2,PIX
371,31,9,PIX
372,53,7,Cartão de Débito
373,32,15,Cartão de Crédito
374,36,14,Dinheiro
375,31,1,PIX
376,39,2,Dinheiro
377,87,7,PIX
378,8,6,PIX
379,39,13,Cartão de Crédito
380,112,2,Cartão de Crédito
381,92,7,Cartão de Débito
382,78,4,Cartão de Débito
383,93,2,Cartão de Débito
384,101,7,Cartão de Crédito
385,23,10,Cartão de Crédito
386,60,10,PIX
387,75,8,Cartão de Crédito
388,4,12,Cartão de Crédito
389,88,15,Cartão de Crédito
390,82,2,PIX
391,89,11,Cartão de Crédito
392,91,14,Cartão de Crédito
393,64,3,Cartão de Débito
394,2,8,Cartão de Crédito
395,13,15,Cartão de Crédito
396,73,4,Cartão de Crédito
397,49,3,Cartão de Crédito
398,65,14,PIX
399,17,15,Dinheiro
400,4,1,PIX
401,112,12,PIX
402,25,8,Cartão de Crédito
403,79,6,PIX
404,8,14,PIX
405,50,1,Cartão de Crédito
406,111,15,PIX
407,1,12,Cartão de Crédito
408,114,10,PIX
409,13,7,Cartão de Crédito
410,9,7,Cartão de Crédito
411,77,7,Cartão de Crédito
412,16,4,PIX
413,43,6,PIX
414,47,1,Cartão de Crédito
415,85,1,PIX
416,50,12,Cartão de Crédito
417,82,5,PIX
418,9,15,Cartão de Débito
419,21,14,PIX
420,36,6,Cartão de Crédito
421,77,15,PIX
422,38,2,Cartão de Débito
423,84,13,PIX
424,95,2,PIX
425,10,10,Cartão de Crédito
426,83,7,Cartão de Crédito
427,119,8,Cartão de Débito
